event_date_dt,total_time_s_mean,line_of_best_fit
2019-08-29,6667.0,6620.114698228233
2020-09-13,6740.0,6520.901940331304
2021-05-15,6290.0,6457.364111126972
2021-06-05,6458.0,6451.895691400369
2022-05-14,6292.0,6362.578169199197
2022-08-12,6179.0,6339.142084656615
2022-11-05,6657.0,6317.008004810844
2022-11-24,6391.0,6312.060386962966
2023-05-13,6138.0,6267.792227271423
2023-05-27,5878.0,6264.146614120355
2023-08-17,6075.0,6242.793737092669
2023-09-22,6225.0,6233.419303275637
2024-05-11,6252.0,6173.006285343648
2024-07-30,6236.0,6152.174210194687
2024-10-17,6368.0,6131.602535985087
