,event_id,txt,event_listing,event_title
0,153772,Missing keys: prog_distance_category,https://www.triathlon.org/events/2021-world-triathlon-montreal,Groupe Copley 2021 World Triathlon Championship Series Montreal
1,159913,Missing keys: prog_distance_category,https://www.triathlon.org/events/2022-world-triathlon-sprint-relay-championships-montreal,2022 World Triathlon Sprint and Relay Championships Montreal
2,109659,Missing keys: prog_distance_category,https://www.triathlon.org/events/2017-chengdu-itu-triathlon-world-cup,2017 Chengdu ITU Triathlon World Cup
3,121589,Missing keys: prog_distance_category,https://www.triathlon.org/events/2018-chengdu-itu-triathlon-world-cup,2018 Chengdu ITU Triathlon World Cup
4,130109,Missing keys: prog_distance_category,https://www.triathlon.org/events/2019-chengdu-itu-triathlon-world-cup,2019 Chengdu ITU Triathlon World Cup
5,183762,Missing keys: results,https://www.triathlon.org/events/2024-world-triathlon-championship-series-abu-dhabi,2024 World Triathlon Championship Series Abu Dhabi
24,140268,"Missing keys: results, prog_distance_category",https://www.triathlon.org/events/2020-miyazaki-itu-triathlon-world-cup,2020 Miyazaki ITU Triathlon World Cup
25,155515,"Missing keys: results, prog_distance_category",https://www.triathlon.org/events/2021-world-triathlon-cup-miyazaki1,2021 World Triathlon Cup Miyazaki
26,152694,"Missing keys: results, prog_distance_category",https://www.triathlon.org/events/2021-osaka-triathlon-world-cup,2021 World Triathlon Cup Osaka
27,155517,"Missing keys: results, prog_distance_category",https://www.triathlon.org/events/2021-world-triathlon-cup-weihai,2021 World Triathlon Cup Weihai
28,154594,"Missing keys: results, prog_distance_category",https://www.triathlon.org/events/2021-world-triathlon-cup-miyazaki,2021 World Triathlon Cup Miyazaki
29,163466,"Missing keys: results, prog_distance_category",https://www.triathlon.org/events/2022-world-triathlon-cup-miyazaki2,2022 World Triathlon Cup Miyazaki
32,163467,"Missing keys: results, prog_distance_category",https://www.triathlon.org/events/2022-world-triathlon-cup-haeundae,2022 World Triathlon Cup Haeundae
31,163481,"Missing keys: results, prog_distance_category",https://www.triathlon.org/events/2022-world-triathlon-cup-weihai,2022 World Triathlon Cup Weihai
23,140267,"Missing keys: results, prog_distance_category",https://www.triathlon.org/events/2020-tongyeong-itu-triathlon-world-cup,2020 Tongyeong ITU Triathlon World Cup
33,172818,"Missing keys: results, prog_distance_category",https://www.triathlon.org/events/2023-world-triathlon-cup-busselton,2023 World Triathlon Cup Busselton
34,173642,"Missing keys: results, prog_distance_category",https://www.triathlon.org/events/2023-world-triathlon-cup-bergen,2023 World Triathlon Cup Bergen
35,173646,"Missing keys: results, prog_distance_category",https://www.triathlon.org/events/2023-world-triathlon-cup-montevideo,2023 World Triathlon Cup Montevideo
30,163468,"Missing keys: results, prog_distance_category",https://www.triathlon.org/events/2021-world-triathlon-cup-osaka,2022 World Triathlon Cup Osaka
21,140260,"Missing keys: results, prog_distance_category",https://www.triathlon.org/events/2020-chengdu-itu-triathlon-world-cup,2020 Chengdu ITU Triathlon World Cup
22,142015,"Missing keys: results, prog_distance_category",https://www.triathlon.org/events/2020-madrid-itu-triathlon-world-cup,2020 Madrid ITU Triathlon World Cup
19,140264,"Missing keys: results, prog_distance_category",https://www.triathlon.org/events/2020-tiszaujvaros-itu-triathlon-world-cup,2020 Tiszaujvaros ITU Triathlon World Cup
6,139719,"Missing keys: results, prog_distance_category",https://www.triathlon.org/events/2020-itu-world-triathlon-abu-dhabi,2020 ITU World Triathlon Abu Dhabi
7,139720,"Missing keys: results, prog_distance_category",https://www.triathlon.org/events/2020-itu-world-triathlon-bermuda,2020 MS Amlin World Triathlon Bermuda
20,140266,"Missing keys: results, prog_distance_category",https://www.triathlon.org/events/2020-weihai-itu-triathlon-world-cup,2020 Weihai ITU Triathlon World Cup
9,139722,"Missing keys: results, prog_distance_category",https://www.triathlon.org/events/2020-itu-world-triathlon-leeds,2020 AJ Bell World Triathlon Leeds
10,140418,"Missing keys: results, prog_distance_category",https://www.triathlon.org/events/2020-itu-world-triathlon-montreal,2020  Groupe Copley World Triathlon Montreal
11,152693,"Missing keys: results, prog_distance_category",https://www.triathlon.org/events/2021-world-triathlon-chengdu,2021 World Triathlon Championship Series Chengdu
12,154581,"Missing keys: results, prog_distance_category",https://www.triathlon.org/events/2021-world-triathlon-sprint-relay-championships-bermuda,2021 World Triathlon Sprint and Relay Championships Bermuda
8,139721,"Missing keys: results, prog_distance_category",https://www.triathlon.org/events/2020-itu-world-triathlon-yokohama,2020 ITU World Triathlon Yokohama
14,85925,"Missing keys: results, prog_distance_category",https://www.triathlon.org/events/test-event,Nottingham Sig in list
15,140256,"Missing keys: results, prog_distance_category",https://www.triathlon.org/events/2020-sarasota-itu-triathlon-world-cup,2020 Sarasota-Bradenton ITU Triathlon World Cup
16,140257,"Missing keys: results, prog_distance_category",https://www.triathlon.org/events/2020-new-plymouth-itu-triathlon-world-cup,2020 New Plymouth ITU Triathlon World Cup
17,140258,"Missing keys: results, prog_distance_category",https://www.triathlon.org/events/2020-brasilia-itu-triathlon-world-cup,2020 Brasilia ITU Triathlon World Cup
18,140259,"Missing keys: results, prog_distance_category",https://www.triathlon.org/events/2020-huatulco-itu-triathlon-world-cup,2020 Huatulco ITU Triathlon World Cup
13,163483,"Missing keys: results, prog_distance_category",https://www.triathlon.org/events/2022-world-triathlon-championship-series-chengdu,2022 World Triathlon Championship Series Chengdu
44,54309,no listing found,https://www.triathlon.org/events/2012-tiszaujvaros-itu-triathlon-world-cup,2012 Tiszaujvaros ITU Triathlon World Cup
36,122511,no listing found,https://www.triathlon.org/events/2018-itu-world-triathlon-mixed-relay-series-nottingham,2018 ITU World Triathlon Mixed Relay Series Nottingham
37,122512,no listing found,https://www.triathlon.org/events/2018-itu-world-triathlon-mixed-relay-series-edmonton,2018 ITU World Triathlon Mixed Relay Series Edmonton
38,130079,no listing found,https://www.triathlon.org/events/2019-itu-world-triathlon-mixed-relay-series-abu-dhabi,2019 Daman World Triathlon Mixed Relay Series Abu Dhabi
39,130080,no listing found,https://www.triathlon.org/events/2019-itu-world-triathlon-mixed-relay-series-nottingham,2019 Accenture World Triathlon Mixed Relay Series Nottingham
40,131333,no listing found,https://www.triathlon.org/events/2019-itu-world-triathlon-mixed-relay-series-edmonton,2019 ITU World Triathlon Mixed Relay Series Edmonton
41,136277,no listing found,https://www.triathlon.org/events/2019-itu-world-triathlon-mixed-relay-series-tokyo,2019 ITU World Triathlon Mixed Relay Series Tokyo
42,140295,no listing found,https://www.triathlon.org/events/2020-itu-world-triathlon-mixed-relay-series-abu-dhabi,2020 Abu Dhabi ITU World Triathlon Mixed Relay Series
43,172817,no listing found,https://www.triathlon.org/events/2023-world-triathlon-mixed-relay-series-paris,2023 World Triathlon Mixed Relay Series Paris
45,130120,no listing found,https://www.triathlon.org/events/2019-salinas-itu-triathlon-world-cup,2019 Salinas ITU Triathlon World Cup
